source_id,ra,dec,phot_g_mean_mag
1576683529448755328,193.50817846782095,55.959784778923755,1.731607
6560604777055249536,332.05907779469464,-46.96161734131188,1.7732803
1510374147844219904,206.8843267438112,49.313201807217496,1.881019
3377166289889430656,95.74037353106223,22.51309871600816,1.8813683
418551920284673408,10.12724197930297,56.53718879378639,1.9425238
4677205714465503104,69.1893185844083,-62.07749050901024,1.9587749
6026152137856166912,252.53759018899078,-34.294371751412214,1.9910356
4357027756659697664,243.58621066034064,-3.694967708333353,2.0164251
426558460884582016,14.177450998208093,60.71672280471204,2.0645833
3011968416163350272,86.93912852502406,-9.669607137549677,2.0778263
5589311357728452608,109.28559423278779,-37.097444485279574,2.0832374
4993479684438433792,6.57215550145885,-42.30782032569077,2.0899775
4493746564376875520,263.7341968642716,12.559009843277153,2.1082857
142853330981747328,46.29487462677558,38.83980896875264,2.111629
2067518817314952576,305.55710787667306,40.2566736114266,2.1137252
4038055447778237312,274.4060904518451,-36.76242931758906,2.1164951
1279798794197267072,221.24648617076684,27.074315757773466,2.1833525
160886283751041408,74.24843702624405,33.16601472318802,2.1975422
1869302503206674304,311.5547590119282,33.9717003123585,2.2109652
5300300156538723328,139.2723686431627,-59.27517582046192,2.213786
4302054339959905920,296.56498571046956,10.613252703828636,2.223692
6127791439360208640,190.3779930225551,-48.95978360109781,2.2270558
423018377034969216,2.2990654282325518,59.14897576410493,2.232691
3220756843825383936,83.00165624929525,-0.2990788925812489,2.2487726
5534788672055388032,120.89585713760054,-40.00307350941095,2.2542944
3377072212924335488,93.71906923878569,22.50675368193066,2.2620378
1222646935698492160,233.67254376294218,26.714295174747274,2.2693703
5111187420714898304,59.507642022011794,-13.509012610930261,2.2707934
1563590579347125632,200.98237336533253,54.92525907860076,2.282647
4049506483413484672,275.24868220695066,-29.82822386700995,2.296982
6227443304915069056,226.0172005141403,-25.2821590562471,2.3034124
804753180515722624,155.58176101601168,41.49966386040507,2.32451
5905821894507108864,220.4821588727846,-47.388273117597144,2.3246517
4429785739602747392,236.0675744297602,6.4258326669088035,2.3253543
2106630885454013184,283.83388403904866,43.946451132674866,2.3616831
5922444483103229952,261.3248860596135,-55.529996917051356,2.3912818
6407842789021567872,334.62477862508103,-60.25977542657531,2.396663
856096765753549056,165.46097417209683,56.38257749355825,2.3985364
3704342295607157120,193.89877797423057,3.3972301950318524,2.4037774
5961206940987571200,265.62193838278046,-39.03009162628322,2.4227042
2193192137376175488,319.64633694354825,62.58579604829105,2.428267
792588939773693568,178.45836676657404,53.694797326318046,2.4362755
4473334474604992384,265.86794661822,4.568012245771951,2.4423249
3501215734352781440,188.59681758232725,-23.397012233844624,2.448283
5605797194566011520,111.0237381697198,-29.303082980151718,2.4504085
2202630001603369856,325.87694430713873,58.78002783444686,2.450726
4629125170492116224,56.810583950214635,-74.23845269276111,2.4740036
5310393535853560576,140.52832321650078,-55.01061135363584,2.487886
702343774145932544,140.2625728404832,34.39263287351821,2.488654
1625209684868707328,245.9977069286059,61.514463511632556,2.494415
2816504901198512768,346.19050678740496,15.205082982106333,2.5036576
6126469654585981952,182.08939329942342,-50.72248107334658,2.508257
5917537534527580160,254.65491303478962,-55.99029939641002,2.5107856
5361403934691772160,161.6928645043898,-49.420476913951866,2.5133939
4076915349846977664,276.99244340050245,-25.422523033637848,2.5435061
5306951892646516992,142.80522590576416,-57.03435042166543,2.5465453
1297565458994346240,247.55452931903397,21.48954466071868,2.547638
1415230383034813824,262.6080575941285,52.301443329615346,2.5482864
2971266110612490624,83.18258484252563,-17.822282254766677,2.5535128
6247207266946218112,241.35926902767926,-19.80555058042707,2.5550153
4337352305320149760,249.28979755823173,-10.566976077121021,2.5565956
1244946371540479616,208.67086285879768,18.39612273503526,2.5583582
3990320597065899776,168.52777245409249,20.523137041266512,2.5716317
6170243926896213120,207.36109585015143,-34.451040500017236,2.5794034
5099455184968674560,49.87942190770887,-21.75771998267506,2.5895581
5502164890740285696,102.48426657164553,-50.61484787877496,2.6184993
3736865265441207424,195.54291476874843,10.95923674149768,2.619051
2968097043228517120,82.06131804802973,-20.759815662845018,2.627176
3490234568129160704,182.53082136956726,-22.619722010989726,2.6297014
6319542659461082752,229.25128229268978,-9.383003328572958,2.6346583
5512070906394195968,112.30725962073404,-43.300592607109294,2.6405158
3384529341302871296,100.98300597068413,25.131074836391473,2.6483977
447071293401293056,46.19914439438418,53.50642323794812,2.651
2026116260337482112,292.6803397469523,27.959624176962155,2.651682
2900546759663847168,84.91226376039107,-34.07421247244894,2.6532035
2962546605447869184,76.36538394458108,-22.371367602513757,2.6534927
779106556394253824,167.41547770774767,44.4983642995888,2.68003
510204838759030144,21.45661245731054,60.235067611380984,2.6805298
4683897617110115200,6.482504988433097,-77.25279546754571,2.6807318
5908509891197204480,224.63280437033956,-43.13413617160934,2.6952581
5855593454594292736,189.29540488035568,-69.1356236855019,2.6997497
1339952869195300608,258.7616572468772,36.809174548038804,2.7025177
5859405805013401984,184.39008382548533,-67.96085330413052,2.7034264
2671038928727970944,322.8898027828743,-5.571211107815946,2.7120852
1312665361415345920,250.31919789825196,31.604583878359982,2.7169063
6309703507861332736,222.7191482591402,-16.042081011481653,2.7223556
1381119031215320576,247.16079375745315,41.881650687920455,2.7236698
4049975081571729920,271.45176593069976,-30.424938157908525,2.7243106
1887953690728237568,340.7506395031158,30.221130397877182,2.7250793
2680356911816018048,331.44606406642515,-0.31989739999996836,2.727835
5239828735016184448,160.7389810431919,-64.39440583205966,2.7347076
3557567320183657472,162.40663105834716,-16.19275976302023,2.7356641
3017190546641718144,83.85826322361507,-5.909896048091421,2.7408419
5698015743046182272,121.8856299797689,-24.304115553778075,2.7505891
4935615308047192576,22.091261274313453,-43.31915413670581,2.7603414
5610441600394646016,105.42975475577698,-27.934808608833123,2.7605493
1312665361414730624,250.31915796740566,31.604519240231134,2.7632272
4136366183978856960,257.5946814508237,-15.72447861063109,2.7693226
6071060144089351808,183.7860104400386,-58.748974282250245,2.7730124
6194563955869054848,199.7307355656656,-23.171710892760082,2.776534
3211922645854328832,76.9620005509911,-5.086810304091459,2.7777147
6165699748417797504,200.1473375344814,-36.712670004585064,2.7811801
641662895638787584,146.46258258682883,23.7742057827888,2.7839565
5826168461855385472,238.7838064740902,-63.43251144584002,2.784391
6044420729667868928,248.97058883392532,-28.216118043025787,2.8028276
4082115215112774272,287.440967928891,-21.02377872569698,2.803014
2887731882922767744,87.74026611929386,-35.76651139745324,2.8041787
4713424658275847168,29.694939353364006,-61.56973866594546,2.8074205
2255173119658513408,288.13986191145926,67.66194921202765,2.8079169
168726523212358272,58.53304404662457,31.88359461391294,2.8219895
6838311796136238976,326.76139246141946,-16.128607188133948,2.836813
1824534959611831680,296.84697410021977,18.53431498544213,2.8368227
6875990375999580544,305.2529803545091,-14.781406001156812,2.8368742
205499655242974464,75.49223197537926,43.823296688371194,2.847648
6674382927491854848,309.3921343889334,-47.2912080024033,2.8521497
2769202742740232960,3.3089703843753013,15.183550741446307,2.8534293
3143264535611892096,111.78744022702931,8.289146534444166,2.856039
1823067317695766784,299.6895907690142,19.4922471120651,2.8593628
2610370969483589888,343.1537089468947,-7.579451402482835,2.8595295
4039970797062166400,267.4647360322948,-37.0432231563698,2.860071
5958043164999014400,266.8961644868148,-40.127021345862346,2.8666828
2199493438511811712,332.7137697826255,58.20128527773775,2.8701382
583588100209595776,133.84799100696154,5.9456285938922715,2.8702028
5253347574087339776,154.27049434677835,-61.3322788093693,2.8710227
2858629802998456576,9.832595312681915,30.86050281776377,2.8720777
6235406071207202688,239.71290472790042,-26.114226866466353,2.8735147
5538814190283894656,116.31367447237092,-37.96856044058731,2.875049
5949437149987478016,262.9601503332293,-49.87644249970017,2.8780158
4444057469252265984,254.41575470820635,9.374984808370574,2.8820894
5823248090239625088,229.72661750917953,-68.67968528286241,2.882312
66714384142368256,56.87125084725649,24.10493447522506,2.896132
229898024422755840,59.463595170524904,40.0100950978535,2.904279
1517698716348324992,194.0056156711975,38.31862104268021,2.9043932
3402918982515591168,84.41119325636477,21.14245103416954,2.9119813
2079784488001577600,296.2439176177008,45.13102484391075,2.9163165
